op,table,file,line
SELECT,tbl_proyecto,gimnasiocervantes.com/funciones.php,192
SELECT,tbl_proyecto,gimnasiocervantes.com/funciones.php,200
SELECT,tbl_usuario,gimnasiocervantes.com/funciones.php,213
SELECT,tbl_usuario,gimnasiocervantes.com/funciones.php,219
SELECT,tbl_usuario,gimnasiocervantes.com/funciones.php,227
SELECT,tbl_usuario,gimnasiocervantes.com/funciones.php,235
INSERT,tbl_usuario,gimnasiocervantes.com/funciones.php,246
DELETE,tbl_usuario,gimnasiocervantes.com/funciones.php,253
UPDATE,tbl_usuario,gimnasiocervantes.com/funciones.php,259
UPDATE,tbl_usuario,gimnasiocervantes.com/funciones.php,267
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,279
UPDATE,tbl_alumno,gimnasiocervantes.com/funciones.php,289
INSERT,tbl_alumno,gimnasiocervantes.com/funciones.php,295
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,305
UPDATE,tbl_alumno,gimnasiocervantes.com/funciones.php,313
INSERT,tbl_alumno,gimnasiocervantes.com/funciones.php,318
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,337
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,348
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,353
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,371
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,394
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,402
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,410
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,418
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,426
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,433
UPDATE,tbl_alumno,gimnasiocervantes.com/funciones.php,444
INSERT,tbl_alumno,gimnasiocervantes.com/funciones.php,450
UPDATE,tbl_alumno,gimnasiocervantes.com/funciones.php,464
INSERT,tbl_alumno,gimnasiocervantes.com/funciones.php,470
UPDATE,tbl_alumno,gimnasiocervantes.com/funciones.php,480
DELETE,tbl_alumno,gimnasiocervantes.com/funciones.php,485
UPDATE,tbl_alumno,gimnasiocervantes.com/funciones.php,490
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,499
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,505
SELECT,tbl_acudiente,gimnasiocervantes.com/funciones.php,515
SELECT,tbl_alumno_acudiente,gimnasiocervantes.com/funciones.php,520
SELECT,tbl_alumno_acudiente,gimnasiocervantes.com/funciones.php,526
SELECT,tbl_acudiente,gimnasiocervantes.com/funciones.php,534
SELECT,tbl_acudiente,gimnasiocervantes.com/funciones.php,542
UPDATE,tbl_acudiente,gimnasiocervantes.com/funciones.php,555
INSERT,tbl_acudiente,gimnasiocervantes.com/funciones.php,561
INSERT,tbl_alumno_acudiente,gimnasiocervantes.com/funciones.php,576
DELETE,tbl_alumno_acudiente,gimnasiocervantes.com/funciones.php,588
SELECT,tbl_modulo,gimnasiocervantes.com/funciones.php,597
SELECT,tbl_usuario_modulo,gimnasiocervantes.com/funciones.php,602
INSERT,tbl_usuario_modulo,gimnasiocervantes.com/funciones.php,608
DELETE,tbl_usuario_modulo,gimnasiocervantes.com/funciones.php,614
SELECT,tbl_enlace,gimnasiocervantes.com/funciones.php,623
SELECT,tbl_noticia,gimnasiocervantes.com/funciones.php,632
SELECT,tbl_noticia,gimnasiocervantes.com/funciones.php,640
INSERT,tbl_noticia,gimnasiocervantes.com/funciones.php,646
DELETE,tbl_noticia,gimnasiocervantes.com/funciones.php,651
SELECT,tbl_circular,gimnasiocervantes.com/funciones.php,656
SELECT,tbl_circular,gimnasiocervantes.com/funciones.php,661
SELECT,tbl_circular,gimnasiocervantes.com/funciones.php,666
SELECT,tbl_circular,gimnasiocervantes.com/funciones.php,673
SELECT,tbl_circular,gimnasiocervantes.com/funciones.php,680
INSERT,tbl_circular,gimnasiocervantes.com/funciones.php,688
INSERT,tbl_circular,gimnasiocervantes.com/funciones.php,694
DELETE,tbl_circular,gimnasiocervantes.com/funciones.php,699
SELECT,tbl_contacto,gimnasiocervantes.com/funciones.php,709
SELECT,tbl_contacto,gimnasiocervantes.com/funciones.php,717
INSERT,tbl_contacto,gimnasiocervantes.com/funciones.php,726
UPDATE,tbl_contacto,gimnasiocervantes.com/funciones.php,731
SELECT,tbl_grado,gimnasiocervantes.com/funciones.php,741
SELECT,tbl_grado,gimnasiocervantes.com/funciones.php,749
SELECT,tbl_grado,gimnasiocervantes.com/funciones.php,757
SELECT,tbl_grupo,gimnasiocervantes.com/funciones.php,769
SELECT,tbl_grupo,gimnasiocervantes.com/funciones.php,776
SELECT,tbl_grupo,gimnasiocervantes.com/funciones.php,783
SELECT,tbl_grupo,gimnasiocervantes.com/funciones.php,790
SELECT,tbl_grupo,gimnasiocervantes.com/funciones.php,797
INSERT,tbl_grupo,gimnasiocervantes.com/funciones.php,805
UPDATE,tbl_grupo,gimnasiocervantes.com/funciones.php,813
DELETE,tbl_grupo,gimnasiocervantes.com/funciones.php,819
SELECT,tbl_area,gimnasiocervantes.com/funciones.php,831
SELECT,tbl_periodo_academico,gimnasiocervantes.com/funciones.php,843
SELECT,tbl_periodo_academico,gimnasiocervantes.com/funciones.php,851
SELECT,tbl_periodo_academico,gimnasiocervantes.com/funciones.php,859
SELECT,tbl_asignatura,gimnasiocervantes.com/funciones.php,871
SELECT,tbl_asignatura,gimnasiocervantes.com/funciones.php,879
INSERT,tbl_asignatura,gimnasiocervantes.com/funciones.php,887
UPDATE,tbl_asignatura,gimnasiocervantes.com/funciones.php,895
DELETE,tbl_asignatura,gimnasiocervantes.com/funciones.php,901
SELECT,tbl_profesor,gimnasiocervantes.com/funciones.php,913
SELECT,tbl_profesor,gimnasiocervantes.com/funciones.php,921
INSERT,tbl_profesor,gimnasiocervantes.com/funciones.php,935
UPDATE,tbl_profesor,gimnasiocervantes.com/funciones.php,944
DELETE,tbl_profesor,gimnasiocervantes.com/funciones.php,950
SELECT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,962
SELECT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,970
SELECT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,977
SELECT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,982
SELECT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,998
SELECT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,1003
INSERT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,1012
UPDATE,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,1021
UPDATE,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,1026
DELETE,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,1031
SELECT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,1040
SELECT,tbl_plan_gestor,gimnasiocervantes.com/funciones.php,1059
SELECT,tbl_plan_gestor,gimnasiocervantes.com/funciones.php,1064
INSERT,tbl_logro,gimnasiocervantes.com/funciones.php,1073
SELECT,tbl_grupo_asignatura,gimnasiocervantes.com/funciones.php,1079
SELECT,tbl_plan_gestor,gimnasiocervantes.com/funciones.php,1084
INSERT,tbl_plan_gestor,gimnasiocervantes.com/funciones.php,1089
UPDATE,tbl_plan_gestor,gimnasiocervantes.com/funciones.php,1096
UPDATE,tbl_,gimnasiocervantes.com/funciones.php,1114
SELECT,tbl_,gimnasiocervantes.com/funciones.php,1126
SELECT,tbl_logro,gimnasiocervantes.com/funciones.php,1132
SELECT,tbl_calificacion_logro,gimnasiocervantes.com/funciones.php,1166
SELECT,tbl_calificacion_logro,gimnasiocervantes.com/funciones.php,1172
UPDATE,tbl_calificacion_logro,gimnasiocervantes.com/funciones.php,1193
INSERT,tbl_calificacion_logro,gimnasiocervantes.com/funciones.php,1197
SELECT,tbl_logro,gimnasiocervantes.com/funciones.php,1206
SELECT,tbl_calificacion_asignatura_final,gimnasiocervantes.com/funciones.php,1215
SELECT,tbl_calificacion_asignatura,gimnasiocervantes.com/funciones.php,1221
UPDATE,tbl_calificacion_asignatura_final,gimnasiocervantes.com/funciones.php,1242
INSERT,tbl_calificacion_asignatura_final,gimnasiocervantes.com/funciones.php,1246
UPDATE,tbl_calificacion_asignatura,gimnasiocervantes.com/funciones.php,1270
INSERT,tbl_calificacion_asignatura,gimnasiocervantes.com/funciones.php,1274
UPDATE,tbl_calificacion_asignatura,gimnasiocervantes.com/funciones.php,1298
INSERT,tbl_calificacion_asignatura,gimnasiocervantes.com/funciones.php,1302
SELECT,tbl_puntaje_alumno,gimnasiocervantes.com/funciones.php,1311
UPDATE,tbl_puntaje_alumno,gimnasiocervantes.com/funciones.php,1318
INSERT,tbl_puntaje_alumno,gimnasiocervantes.com/funciones.php,1321
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,1328
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,1336
UPDATE,tbl_puntaje_alumno,gimnasiocervantes.com/funciones.php,1343
SELECT,tbl_desempenio_perdido,gimnasiocervantes.com/funciones.php,1349
SELECT,tbl_desempenio_perdido,gimnasiocervantes.com/funciones.php,1355
UPDATE,tbl_desempenio_perdido,gimnasiocervantes.com/funciones.php,1361
SELECT,tbl_desempenio_perdido,gimnasiocervantes.com/funciones.php,1367
SELECT,tbl_desempenio_perdido,gimnasiocervantes.com/funciones.php,1373
INSERT,tbl_desempenio_perdido,gimnasiocervantes.com/funciones.php,1378
SELECT,tbl_alumno_logro_caso_especial,gimnasiocervantes.com/funciones.php,1388
SELECT,tbl_alumno_logro_caso_especial,gimnasiocervantes.com/funciones.php,1393
SELECT,tbl_alumno_logro_caso_especial,gimnasiocervantes.com/funciones.php,1399
SELECT,tbl_alumno_recomendacion_caso_especial,gimnasiocervantes.com/funciones.php,1405
SELECT,tbl_logro_caso_especial,gimnasiocervantes.com/funciones.php,1411
INSERT,tbl_alumno_logro_caso_especial,gimnasiocervantes.com/funciones.php,1417
INSERT,tbl_logro_caso_especial,gimnasiocervantes.com/funciones.php,1422
INSERT,tbl_recomendacion_caso_especial,gimnasiocervantes.com/funciones.php,1432
INSERT,tbl_alumno_recomendacion_caso_especial,gimnasiocervantes.com/funciones.php,1435
DELETE,tbl_alumno_logro_caso_especial,gimnasiocervantes.com/funciones.php,1443
DELETE,tbl_alumno_logro_caso_especial,gimnasiocervantes.com/funciones.php,1449
DELETE,tbl_logro_caso_especial,gimnasiocervantes.com/funciones.php,1453
DELETE,tbl_alumno_recomendacion_caso_especial,gimnasiocervantes.com/funciones.php,1461
DELETE,tbl_recomendacion_caso_especial,gimnasiocervantes.com/funciones.php,1465
UPDATE,tbl_calificacion_logro,gimnasiocervantes.com/funciones.php,1488
INSERT,tbl_calificacion_logro,gimnasiocervantes.com/funciones.php,1492
SELECT,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1506
SELECT,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1513
SELECT,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1520
SELECT,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1527
SELECT,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1534
SELECT,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1541
INSERT,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1548
UPDATE,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1557
DELETE,tbl_concepto_pago,gimnasiocervantes.com/funciones.php,1564
SELECT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1578
SELECT,tbl_pago_otros,gimnasiocervantes.com/funciones.php,1597
SELECT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1612
SELECT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1631
SELECT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1638
SELECT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1645
SELECT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1652
SELECT,tbl_alumno,gimnasiocervantes.com/funciones.php,1659
SELECT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1661
INSERT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1671
INSERT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1682
INSERT,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1692
UPDATE,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1711
UPDATE,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1727
DELETE,tbl_concepto_pago_alumno,gimnasiocervantes.com/funciones.php,1734
SELECT,tbl_pago_otros,gimnasiocervantes.com/funciones.php,1739
INSERT,tbl_pago_otros,gimnasiocervantes.com/funciones.php,1745
UPDATE,tbl_pago_otros,gimnasiocervantes.com/funciones.php,1754
INSERT,tbl_gasto,gimnasiocervantes.com/funciones.php,1764
SELECT,tbl_gasto,gimnasiocervantes.com/funciones.php,1773
DELETE,tbl_gasto,gimnasiocervantes.com/funciones.php,1778
INSERT,tbl_factura,gimnasiocervantes.com/funciones.php,1791
UPDATE,tbl_factura,gimnasiocervantes.com/funciones.php,1797
SELECT,tbl_factura,gimnasiocervantes.com/funciones.php,1803
UPDATE,tbl_factura,gimnasiocervantes.com/funciones.php,1809
SELECT,tbl_comunicado,gimnasiocervantes.com/funciones.php,1819
SELECT,tbl_comunicado_alumno,gimnasiocervantes.com/funciones.php,1824
SELECT,tbl_comunicado_admin,gimnasiocervantes.com/funciones.php,1830
SELECT,tbl_comunicado,gimnasiocervantes.com/funciones.php,1836
INSERT,tbl_comunicado,gimnasiocervantes.com/funciones.php,1842
INSERT,tbl_comunicado_alumno,gimnasiocervantes.com/funciones.php,1850
INSERT,tbl_comunicado_admin,gimnasiocervantes.com/funciones.php,1859
DELETE,tbl_comunicado,gimnasiocervantes.com/funciones.php,1867
DELETE,tbl_comunicado_alumno,gimnasiocervantes.com/funciones.php,1870
SELECT,tbl_recomendacion,gimnasiocervantes.com/funciones.php,1882
SELECT,tbl_recomendacion_alumno,gimnasiocervantes.com/funciones.php,1887
INSERT,tbl_recomendacion_alumno,gimnasiocervantes.com/funciones.php,1893
INSERT,tbl_recomendacion,gimnasiocervantes.com/funciones.php,1899
SELECT,tbl_estado_enlace,gimnasiocervantes.com/funciones.php,1905
UPDATE,tbl_promocion_alumno,gimnasiocervantes.com/funciones.php,1917
INSERT,tbl_promocion_alumno,gimnasiocervantes.com/funciones.php,1921
SELECT,tbl_promocion_alumno,gimnasiocervantes.com/funciones.php,1929
SELECT,tbl_consecutivo,gimnasiocervantes.com/funciones.php,1938
UPDATE,tbl_consecutivo,gimnasiocervantes.com/funciones.php,1945
INSERT,tbl_respuestas_saber,gimnasiocervantes.com/funciones.php,1978
UPDATE,Elemento,gimnasiocervantes.com/principal_admin.php,190
UPDATE,Elemento,gimnasiocervantes.com/principal_admin.php,318
SELECT,tbl_galeria,gimnasiocervantes.com/aplicacion/funciones/funciones_galeria.php,213
SELECT,tbl_galeria,gimnasiocervantes.com/aplicacion/funciones/funciones_galeria.php,221
INSERT,tbl_galeria,gimnasiocervantes.com/aplicacion/funciones/funciones_galeria.php,228
UPDATE,tbl_galeria,gimnasiocervantes.com/aplicacion/funciones/funciones_galeria.php,234
INSERT,tbl_galeria,gimnasiocervantes.com/aplicacion/funciones/funciones_galeria.php,245
SELECT,tbl_proyecto,gimnasiocervantes.com/aplicacion/funciones/funciones_galeria.php,255
SELECT,tbl_proyecto,gimnasiocervantes.com/aplicacion/funciones/funciones_galeria.php,263
INSERT,tbl_proyecto,gimnasiocervantes.com/aplicacion/funciones/funciones_galeria.php,270
